Date,Time,Location,Weather,Name from Notes,Common Name,Seen/Heard,Count,Male/Female,Comments,Scientific Name,eBird URL
,,,,vigions,Indian Paradise-Flycatcher,,,,,Terpsiphone paradisi,"=HYPERLINK(""https://ebird.org/species/aspfly1?siteLanguage=en_IN"", ""Indian Paradise-Flycatcher"")"
,,,,common teel,Green-winged Teal (Common Teal),,,,,Anas crecca,"=HYPERLINK(""https://ebird.org/species/gnwtea?siteLanguage=en_IN"", ""Green-winged Teal (Common Teal)"")"
,,,,Twany eagle,Tawny Eagle,,,,,Aquila rapax,"=HYPERLINK(""https://ebird.org/species/taweag1?siteLanguage=en_IN"", ""Tawny Eagle"")"
,,,,Myna,Common Myna,,,,,Acridotheres tristis,"=HYPERLINK(""https://ebird.org/species/commyn?siteLanguage=en_IN"", ""Common Myna"")"
,,,,L Egerets,Great Egret,,23,,,Ardea alba,"=HYPERLINK(""https://ebird.org/species/greegr?siteLanguage=en_IN"", ""Great Egret"")"
,,,,Cattle egrets,Western/Eastern Cattle Egret,,21,,,Bubulcus ibis/coromandus,
,,,,red rumped swallow,Red-rumped Swallow,,Over 100+200,,,Cecropis daurica,"=HYPERLINK(""https://ebird.org/species/rerswa1?siteLanguage=en_IN"", ""Red-rumped Swallow"")"
,,,,Dabchick,Little Grebe,,,,,Tachybaptus ruficollis,"=HYPERLINK(""https://ebird.org/species/litgre1?siteLanguage=en_IN"", ""Little Grebe"")"
,,,,little commonds,Little Cormorant,,50,,,Microcarbo niger,"=HYPERLINK(""https://ebird.org/species/litcor1?siteLanguage=en_IN"", ""Little Cormorant"")"
,,,,white ringed plover,Little Ringed Plover,,12,,,Charadrius dubius,"=HYPERLINK(""https://ebird.org/species/lirplo?siteLanguage=en_IN"", ""Little Ringed Plover"")"
,,,,pintail,Northern Pintail,,20,,,Anas acuta,"=HYPERLINK(""https://ebird.org/species/norpin?siteLanguage=en_IN"", ""Northern Pintail"")"
,,,,Comon sandpiper,Common Sandpiper,,2,,,Actitis hypoleucos,"=HYPERLINK(""https://ebird.org/species/comsan?siteLanguage=en_IN"", ""Common Sandpiper"")"
