Date,Time,Location,Weather,Bird Species,Notes,Count,Sex,Comments,corrected_name,name,id
,,,,White Headed Babbler,,,,,White-headed babbler,Yellow-billed Babbler - Argya affinis,yebbab1
,,,,iora,heard,,,,Iora,Common Iora - Aegithina tiphia,comior1
,,,,creasted serpant eagle,,,,,crested serpent eagle,Crested Serpent-Eagle - Spilornis cheela,crseag1
,,,,indian robin,,,,,Indian Robin,Indian Robin - Copsychus fulicatus,indrob1
,,,,little brown dove,,,,,Little Brown Dove,Laughing Dove (Little Brown Dove) - Spilopelia senegalensis,laudov1
,,,,pond herron,,,,,Pond Heron,Indian Pond-Heron - Ardeola grayii,inpher1
,,,,egret,,,,,egret,Intermediate Egret (Medium Egret) - Ardea intermedia,integr1
,,,,shikra,,,,,Shikra,Shikra - Accipiter badius,shikra1
,,,,long tailed night jar,,,,,Long-tailed Nightjar,Long-tailed Nightjar - Caprimulgus climacurus,lotnig1
,,,,paradise fly catcher,,,,,Paradise Flycatcher,Indian Paradise-Flycatcher - Terpsiphone paradisi,aspfly1
,,,,ashy crowned finch lark,,,,,Ashy-crowned finch lark,Ashy-crowned Sparrow-Lark (Ashy-crowned Finch-Lark) - Eremopterix griseus,ascspl1
,,,,House swift,,,,,House Swift,Little Swift (Indian House Swift) - Apus affinis,litswi1
,,,,bush lark,,,,"vegetation: Dodonia vescosa, lantana, dwarf acacia",Bush Lark,Indian Bushlark (Red-winged Bushlark) - Mirafra erythroptera,indbus2
,,,,merlin?,,,,,Merlin,,
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher,White-throated Kingfisher - Halcyon smyrnensis,whtkin2
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet,Rose-ringed Parakeet - Psittacula krameri,rorpar
,,,,baya weaver bird,,,,Nest seen,Baya weaver,Baya Weaver - Ploceus philippinus,baywea1
,,,,Indian roller,,,,,Indian Roller,Indian Roller - Coracias benghalensis,indrol2
,,,,bush lark,,,,,Bush Lark,Indian Bushlark (Red-winged Bushlark) - Mirafra erythroptera,indbus2
,,,,small green beeeater,,,,,Small Green Bee-eater,Asian Green Bee-eater - Merops orientalis,grnbee3
,,,,tree pie,,,,,Treepie,Rufous Treepie - Dendrocitta vagabunda,ruftre2
