Date,Time,Location,Weather,Bird Species,Notes,Count,Sex,Comments,corrected_name
,,,,short toed eagle,,,,,Short-toed Eagle
,,,,little green beeeater,,,,,Little Green Bee-eater
,,,,house swift,,,,,House Swift
,,,,dusky craig martin,,,,,dusky crag martin
,,,,plain prinia,,,,wren warbler,Plain Prinia
,,,,Indian Robin,,,,,Indian Robin
,,,,Wood shrike,,,,,Woodshrike
,,,,Pariah kite,,,,,Pariah Kite
,,,,Koel,heard,,,,Koel
,,,,common myna,,,,,Common Myna
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,shikra,,,,,Shikra
,,,,pond  heron,,,,,Pond Heron
,,,,roufous tailed finch warbler,,,,,Rufous-tailed Finch Warbler
,,,,red rumped swallow,,,,,Red-rumped Swallow
,,,,steppe eagle ?,,,,,Steppe Eagle
,,,,swift,,,,,Swift
,,,,pied bushchat,,,,,Pied Bushchat
,,,,purple sunbird,,,,,Purple Sunbird
,,,,shahin falcon,,,,Red underparts,Shahin Falcon
,,,,briown shrike,,,,,Brown Shrike
,,,,black winged klite,,,,,Black-winged kite
21-2-99,8:30 am – 12:00 pm,Sumavanam,Cloudy Sky,Twany eagle,,,,,Tawny eagle
,,,,Bee eater,,,,,Bee Eater
,,,,Indian Robin,,,,,Indian Robin
,,,,Common myna,,,,,Common Myna
,,,,tree pie,,,,,Treepie
,,,,black drongo,,,,,Black drongo
,,,,taylor bird,,,,,Tailorbird
,,,,grey drongo,,,,,grey drongo
,,,,booted eagle,,,,,Booted Eagle
,,,,purple sunbird,,,,,Purple Sunbird
,,,,roufous tailed finch lark,,,,,Rufous-tailed Finch Lark
,,,,red whiskered bulbul,,,,,Red-whiskered Bulbul
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,pariah kite,,,,,Pariah Kite
,,,,White Headed Babbler,,,,,White-headed babbler
,,,,Roufous winged bush lark,,,,,Rufous-winged Bush Lark
,,,,black bellied finch lark,,,,,Black-bellied finch lark
,,,,large pied wagtail,,,,,Large Pied Wagtail
,,,,little egret,,,,,Little Egret
,,,,common swallow,,,,,Common Swallow
,,,,pond heron,,,,,Pond Heron
,,,,spotted diove,,,,,Spotted Dove
,,,,pied bush chat,,,,,Pied Bushchat
,,,,little brown dove,,,,,Little Brown Dove
,,,,blue rock pigeon,,,,,Blue Rock Pigeon
,,,,ashy crowned finch lark,,,,,Ashy-crowned finch lark
,,,,red rumped swallow,,,,,Red-rumped Swallow
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,blights reed warbler,,,,,Blighted Reed Warbler
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet
,,,,common swallow,,,,,Common Swallow
,,,,Iora,,,,,Iora
,,,,Golden oriole,,,,,Golden Oriole
,,,,greenish leaf warbler,,,,,greenish leaf warbler
,,,,house sparrow,,,,,House Sparrow
27-3-99,,,Slightly Cloudy Sky,red whiskered bulbul,,,,,Red-whiskered Bulbul
,,,,White Headed Babbler,,,,,White-headed babbler
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet
,,,,purple rumped sunbird,,,,Bottle brish in bloom,Purple-rumped Sunbird
,,,,Golden oriole,,,F,,Golden Oriole
,,,,coppersmith,,,,,Coppersmith
,,,,Iora,,,,,Iora
,,,,red whiskered bulbul,,,,,Red-whiskered Bulbul
,,,,Flower pecker,heard,,,,Flowerpecker
,,,,Koel,,,F,,Koel
,,,,grey drongo,heard,,,,grey drongo
,,,,short toed eagle,,,,,Short-toed Eagle
,,,,myna,,,,,Myna
,,,,spotted dove,,,,,Spotted Dove
,,,,little green beeeater,,,,,Little Green Bee-eater
,,,,large pied wagtail,,,,,Large Pied Wagtail
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,Ashy wren warbler,,,,,Ashy Wren Warbler
,,,,tailor bird,,,,,Tailorbird
,,,,white browed bulbul,,,,,White-browed Bulbul
,,,,black drongo,,,,,Black drongo
,,,,pond heron,,,,,Pond Heron
,,,,red rumped swallow,,,,,Red-rumped Swallow
,,,,coucal,,,,,coucal
,,,,large cuckoo shrike,,,,,Large Cuckooshrike
,,,,white breasted water hen,,,,,White-breasted Waterhen
,,,,egret,,,,,egret
,,,,dabchick,,,,,dabchick
,,,,swift,,,,,Swift
,,,,Indian Robin,,,,,Indian Robin
,,,,Hoopoe,,,,,Hoopoe
,,,,Cattle egret,,,,,Cattle Egret
,,,,Blyths reed warbler,,,,,"Blyth""s Reed Warbler"
,,,,pariah kite,,,,,Pariah Kite
,,,,cormorant,,,,,Cormorant
,,,,pied kingfisher,,,,,Pied Kingfisher
,,,,Indian Pitta,,,,,Indian Pitta
,,,,Collored Scops owl?,,,,,Colored Scops Owl
26-6-99,,,Cloudy Sky,House swift,,,,,House Swift
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,Indian robin,,,,,Indian Robin
,,,,pariah kite,,,,,Pariah Kite
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet
,,,,sirkeer cuckoo,,,,,Sirkeer Cuckoo
,,,,white bellied fishing eagle,,,,,White-bellied Fishing Eagle
3-7-99,,,,Dabchick,,,,,Dabchick
,,,,small blue kingfisher,,,,,Small Blue Kingfisher
,,,,egret,,,,,egret
,,,,pond heron,,,,,Pond Heron
,,,,black drongo,,,,,Black drongo
,,,,red wattled lapwing,,,,,Red-wattled Lapwing
,,,,coucal,,,,,coucal
,,,,Myna,,,,,Myna
,,,,blue rock pigeon,,,,,Blue Rock Pigeon
,,,,pied wagtail,,,,,Pied Wagtail
,,,,pariah kite,,,,,Pariah Kite
17-7-99,,Mouth of the valley,Cloudy Sky,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,black drongo,,,,,Black drongo
,,,,Shahin falcon,,,,,Shaheen Falcon
,,,,short toed eagle,,,,,Short-toed Eagle
,,,,pariah kite,,,,,Pariah Kite
,,,,Alpine swift,,,,,Alpine Swift
,,,,pond heron,,,,,Pond Heron
,,,,large pied wagtail,,,,,Large Pied Wagtail
,,,,Scavenger vulture,,,,,Scavenger Vulture
,,,,Twany eagle,,,,,Tawny eagle
,,,,red rumped swallow,,,,,Red-rumped Swallow
,,,,little brown dove,,,,,Little Brown Dove
,,,,indian robin,,,,,Indian Robin
,,,,coucal,,,,,coucal
,,,,shikra,,,,,Shikra
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,white throated munia,,,,,White-throated Munia
,,,,keestral,,,,,Kestrel
,,,,little green beeeater,,,,,Little Green Bee-eater
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet
,,,,bush chat,,,,,Bush Chat
,,,,palm swift,,,,,Palm Swift
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,jungle wren warbler,,,,,Jungle Wren-Warbler
,,,,myna,,,,,Myna
,,,,koel,heard,,,,Koel
22-8-99,6:35 am – 8:00 am,Mouth of the valley & Perco tank,Cloudy sky,white breasted water hen,,,,,White-breasted Waterhen
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,coucal,,,,,coucal
,,,,red wattled lapwing,,,,,Red-wattled Lapwing
,,,,munia,,,,,Munia
,,,,dabchick,,,,,dabchick
